rows_total,accepted_rows,acceptance_rate,accuracy_all_rows,accuracy_on_accepted,pf_estimate_rr1,pred_Long,pred_Short,pred_None,real_Long,real_Short,real_None,source
181,181,1.0,0.298343,0.298343,0.425197,181,0,0,54,36,0,predictions_XAUUSD_Minute15_20200102.csv
176,176,1.0,0.329545,0.329545,0.491525,176,0,0,58,30,0,predictions_XAUUSD_Minute15_20200103.csv
8,8,1.0,0.125,0.125,0.142857,8,0,0,1,3,0,predictions_XAUUSD_Minute15_20200105.csv
184,184,1.0,0.255435,0.255435,0.343066,184,0,0,47,45,0,predictions_XAUUSD_Minute15_20200106.csv
184,184,1.0,0.298913,0.298913,0.426357,184,0,0,55,37,0,predictions_XAUUSD_Minute15_20200107.csv
184,184,1.0,0.228261,0.228261,0.295775,184,0,0,42,50,0,predictions_XAUUSD_Minute15_20200108.csv
184,184,1.0,0.255435,0.255435,0.343066,184,0,0,47,45,0,predictions_XAUUSD_Minute15_20200109.csv
176,176,1.0,0.278409,0.278409,0.385827,176,0,0,49,39,0,predictions_XAUUSD_Minute15_20200110.csv
8,8,1.0,0.125,0.125,0.142857,8,0,0,1,3,0,predictions_XAUUSD_Minute15_20200112.csv
184,184,1.0,0.244565,0.244565,0.323741,184,0,0,45,46,0,predictions_XAUUSD_Minute15_20200113.csv
184,184,1.0,0.293478,0.293478,0.415385,184,0,0,54,38,0,predictions_XAUUSD_Minute15_20200114.csv
184,184,1.0,0.266304,0.266304,0.362963,184,0,0,49,43,0,predictions_XAUUSD_Minute15_20200115.csv
184,184,1.0,0.23913,0.23913,0.314286,184,0,0,44,46,0,predictions_XAUUSD_Minute15_20200116.csv
176,176,1.0,0.284091,0.284091,0.396825,176,0,0,50,38,0,predictions_XAUUSD_Minute15_20200117.csv
8,8,1.0,0.25,0.25,0.333333,8,0,0,2,2,0,predictions_XAUUSD_Minute15_20200119.csv
152,152,1.0,0.276316,0.276316,0.381818,152,0,0,42,32,0,predictions_XAUUSD_Minute15_20200120.csv
184,184,1.0,0.233696,0.233696,0.304965,184,0,0,43,48,0,predictions_XAUUSD_Minute15_20200121.csv
184,184,1.0,0.277174,0.277174,0.383459,184,0,0,51,38,0,predictions_XAUUSD_Minute15_20200122.csv
184,184,1.0,0.26087,0.26087,0.352941,184,0,0,48,44,0,predictions_XAUUSD_Minute15_20200123.csv
176,176,1.0,0.232955,0.232955,0.303704,176,0,0,41,46,0,predictions_XAUUSD_Minute15_20200124.csv
8,8,1.0,0.375,0.375,0.6,8,0,0,3,1,0,predictions_XAUUSD_Minute15_20200126.csv
