p,d,rows_total,accepted_rows,acceptance_rate,accuracy_on_accepted,pf_rr1
0.5,0.05,272957,266227,0.975344,0.250899,0.334933
0.5,0.07,272957,263697,0.966075,0.250826,0.334803
0.5,0.09,272957,261201,0.956931,0.250868,0.334878
0.5,0.11,272957,258805,0.948153,0.250895,0.334927
0.5,0.13,272957,256191,0.938576,0.250883,0.334905
0.5,0.15,272957,253513,0.928765,0.250883,0.334904
0.5,0.17,272957,250609,0.918126,0.250873,0.334887
0.5,0.19,272957,247849,0.908015,0.25077,0.334703
0.5,0.21,272957,244751,0.896665,0.250839,0.334826
0.5,0.23,272957,241611,0.885161,0.2508,0.334757
0.5,0.25,272957,238085,0.872244,0.250931,0.334991
0.52,0.05,272957,266227,0.975344,0.250899,0.334933
0.52,0.07,272957,263697,0.966075,0.250826,0.334803
0.52,0.09,272957,261201,0.956931,0.250868,0.334878
0.52,0.11,272957,258805,0.948153,0.250895,0.334927
0.52,0.13,272957,256191,0.938576,0.250883,0.334905
0.52,0.15,272957,253513,0.928765,0.250883,0.334904
0.52,0.17,272957,250609,0.918126,0.250873,0.334887
0.52,0.19,272957,247849,0.908015,0.25077,0.334703
0.52,0.21,272957,244751,0.896665,0.250839,0.334826
0.52,0.23,272957,241611,0.885161,0.2508,0.334757
0.52,0.25,272957,238085,0.872244,0.250931,0.334991
0.54,0.05,272957,262391,0.961291,0.250878,0.334895
0.54,0.07,272957,262391,0.961291,0.250878,0.334895
0.54,0.09,272957,261201,0.956931,0.250868,0.334878
0.54,0.11,272957,258805,0.948153,0.250895,0.334927
0.54,0.13,272957,256191,0.938576,0.250883,0.334905
0.54,0.15,272957,253513,0.928765,0.250883,0.334904
0.54,0.17,272957,250609,0.918126,0.250873,0.334887
0.54,0.19,272957,247849,0.908015,0.25077,0.334703
0.54,0.21,272957,244751,0.896665,0.250839,0.334826
0.54,0.23,272957,241611,0.885161,0.2508,0.334757
0.54,0.25,272957,238085,0.872244,0.250931,0.334991
0.56,0.05,272957,257497,0.943361,0.250962,0.335046
0.56,0.07,272957,257497,0.943361,0.250962,0.335046
0.56,0.09,272957,257497,0.943361,0.250962,0.335046
0.56,0.11,272957,257497,0.943361,0.250962,0.335046
0.56,0.13,272957,256191,0.938576,0.250883,0.334905
0.56,0.15,272957,253513,0.928765,0.250883,0.334904
0.56,0.17,272957,250609,0.918126,0.250873,0.334887
0.56,0.19,272957,247849,0.908015,0.25077,0.334703
0.56,0.21,272957,244751,0.896665,0.250839,0.334826
0.56,0.23,272957,241611,0.885161,0.2508,0.334757
0.56,0.25,272957,238085,0.872244,0.250931,0.334991
0.58,0.05,272957,252063,0.923453,0.250902,0.334938
0.58,0.07,272957,252063,0.923453,0.250902,0.334938
0.58,0.09,272957,252063,0.923453,0.250902,0.334938
0.58,0.11,272957,252063,0.923453,0.250902,0.334938
0.58,0.13,272957,252063,0.923453,0.250902,0.334938
0.58,0.15,272957,252063,0.923453,0.250902,0.334938
0.58,0.17,272957,250609,0.918126,0.250873,0.334887
0.58,0.19,272957,247849,0.908015,0.25077,0.334703
0.58,0.21,272957,244751,0.896665,0.250839,0.334826
0.58,0.23,272957,241611,0.885161,0.2508,0.334757
0.58,0.25,272957,238085,0.872244,0.250931,0.334991
0.6,0.05,272957,246275,0.902248,0.250712,0.3346
0.6,0.07,272957,246275,0.902248,0.250712,0.3346
0.6,0.09,272957,246275,0.902248,0.250712,0.3346
0.6,0.11,272957,246275,0.902248,0.250712,0.3346
0.6,0.13,272957,246275,0.902248,0.250712,0.3346
0.6,0.15,272957,246275,0.902248,0.250712,0.3346
0.6,0.17,272957,246275,0.902248,0.250712,0.3346
0.6,0.19,272957,246275,0.902248,0.250712,0.3346
0.6,0.21,272957,244751,0.896665,0.250839,0.334826
0.6,0.23,272957,241611,0.885161,0.2508,0.334757
0.6,0.25,272957,238085,0.872244,0.250931,0.334991
0.62,0.05,272957,239849,0.878706,0.250841,0.33483
0.62,0.07,272957,239849,0.878706,0.250841,0.33483
0.62,0.09,272957,239849,0.878706,0.250841,0.33483
