p,d,rows_total,accepted_rows,acceptance_rate,accuracy_on_accepted,pf_rr1
0.5,0.08,272957,262393,0.961298,0.127275,0.145836
0.5,0.1,272957,260025,0.952623,0.127195,0.145732
0.5,0.12,272957,257505,0.94339,0.127097,0.145602
0.5,0.14,272957,254843,0.933638,0.127019,0.145501
0.5,0.16,272957,252079,0.923512,0.126782,0.145189
0.5,0.18,272957,249269,0.913217,0.126775,0.14518
0.5,0.2,272957,246289,0.9023,0.126498,0.144817
0.52,0.08,272957,262393,0.961298,0.127275,0.145836
0.52,0.1,272957,260025,0.952623,0.127195,0.145732
0.52,0.12,272957,257505,0.94339,0.127097,0.145602
0.52,0.14,272957,254843,0.933638,0.127019,0.145501
0.52,0.16,272957,252079,0.923512,0.126782,0.145189
0.52,0.18,272957,249269,0.913217,0.126775,0.14518
0.52,0.2,272957,246289,0.9023,0.126498,0.144817
0.54,0.08,272957,262391,0.961291,0.127276,0.145837
0.54,0.1,272957,260025,0.952623,0.127195,0.145732
0.54,0.12,272957,257505,0.94339,0.127097,0.145602
0.54,0.14,272957,254843,0.933638,0.127019,0.145501
0.54,0.16,272957,252079,0.923512,0.126782,0.145189
0.54,0.18,272957,249269,0.913217,0.126775,0.14518
0.54,0.2,272957,246289,0.9023,0.126498,0.144817
0.56,0.08,272957,257497,0.943361,0.127101,0.145607
0.56,0.1,272957,257497,0.943361,0.127101,0.145607
0.56,0.12,272957,257497,0.943361,0.127101,0.145607
0.56,0.14,272957,254843,0.933638,0.127019,0.145501
0.56,0.16,272957,252079,0.923512,0.126782,0.145189
0.56,0.18,272957,249269,0.913217,0.126775,0.14518
0.56,0.2,272957,246289,0.9023,0.126498,0.144817
0.58,0.08,272957,252063,0.923453,0.126782,0.145189
0.58,0.1,272957,252063,0.923453,0.126782,0.145189
0.58,0.12,272957,252063,0.923453,0.126782,0.145189
0.58,0.14,272957,252063,0.923453,0.126782,0.145189
0.58,0.16,272957,252063,0.923453,0.126782,0.145189
0.58,0.18,272957,249269,0.913217,0.126775,0.14518
0.58,0.2,272957,246289,0.9023,0.126498,0.144817
0.6,0.08,272957,246275,0.902248,0.126493,0.14481
0.6,0.1,272957,246275,0.902248,0.126493,0.14481
0.6,0.12,272957,246275,0.902248,0.126493,0.14481
0.6,0.14,272957,246275,0.902248,0.126493,0.14481
0.6,0.16,272957,246275,0.902248,0.126493,0.14481
0.6,0.18,272957,246275,0.902248,0.126493,0.14481
0.6,0.2,272957,246275,0.902248,0.126493,0.14481
0.62,0.08,272957,239849,0.878706,0.125979,0.144138
0.62,0.1,272957,239849,0.878706,0.125979,0.144138
0.62,0.12,272957,239849,0.878706,0.125979,0.144138
0.62,0.14,272957,239849,0.878706,0.125979,0.144138
0.62,0.16,272957,239849,0.878706,0.125979,0.144138
0.62,0.18,272957,239849,0.878706,0.125979,0.144138
0.62,0.2,272957,239849,0.878706,0.125979,0.144138
0.64,0.08,272957,232411,0.851456,0.125549,0.143575
0.64,0.1,272957,232411,0.851456,0.125549,0.143575
0.64,0.12,272957,232411,0.851456,0.125549,0.143575
0.64,0.14,272957,232411,0.851456,0.125549,0.143575
0.64,0.16,272957,232411,0.851456,0.125549,0.143575
0.64,0.18,272957,232411,0.851456,0.125549,0.143575
0.64,0.2,272957,232411,0.851456,0.125549,0.143575
0.66,0.08,272957,222919,0.816682,0.125377,0.14335
0.66,0.1,272957,222919,0.816682,0.125377,0.14335
