trade,equity
1,-1.0
2,0.0
3,1.0
4,2.0
5,3.0
6,2.0
7,1.0
8,0.0
9,-1.0
10,-2.0
11,-3.0
12,-4.0
13,-5.0
14,-6.0
15,-7.0
16,-8.0
17,-9.0
18,-10.0
19,-11.0
20,-12.0
21,-13.0
22,-14.0
23,-15.0
24,-16.0
25,-17.0
26,-16.0
27,-15.0
28,-16.0
29,-17.0
30,-16.0
31,-15.0
32,-16.0
33,-17.0
34,-18.0
35,-19.0
36,-20.0
37,-21.0
38,-20.0
39,-19.0
40,-20.0
41,-21.0
42,-22.0
43,-23.0
44,-24.0
45,-25.0
46,-26.0
47,-27.0
48,-26.0
49,-25.0
50,-26.0
51,-27.0
52,-26.0
53,-25.0
54,-24.0
55,-23.0
56,-24.0
57,-25.0
58,-24.0
59,-23.0
60,-22.0
61,-21.0
62,-22.0
63,-23.0
64,-24.0
65,-25.0
66,-24.0
67,-23.0
68,-22.0
69,-21.0
70,-20.0
71,-19.0
72,-18.0
73,-17.0
74,-16.0
75,-15.0
76,-14.0
77,-13.0
78,-14.0
79,-15.0
80,-14.0
81,-13.0
82,-12.0
83,-11.0
84,-10.0
85,-9.0
86,-8.0
87,-7.0
88,-6.0
89,-5.0
90,-4.0
91,-3.0
92,-4.0
93,-5.0
94,-4.0
95,-3.0
96,-2.0
97,-1.0
98,0.0
99,1.0
100,2.0
101,3.0
102,2.0
103,1.0
104,2.0
105,3.0
106,2.0
107,1.0
108,0.0
109,-1.0
110,-2.0
111,-3.0
112,-4.0
113,-5.0
114,-6.0
115,-7.0
116,-8.0
117,-9.0
118,-10.0
119,-11.0
120,-12.0
121,-13.0
122,-14.0
123,-15.0
124,-14.0
125,-13.0
126,-12.0
127,-11.0
128,-10.0
129,-9.0
130,-8.0
131,-7.0
132,-6.0
133,-5.0
134,-4.0
135,-5.0
136,-4.0
137,-3.0
138,-4.0
139,-5.0
140,-4.0
141,-3.0
142,-2.0
143,-1.0
144,0.0
145,1.0
146,0.0
147,-1.0
148,-2.0
149,-3.0
150,-2.0
151,-1.0
152,0.0
153,1.0
154,2.0
155,3.0
156,2.0
157,1.0
158,2.0
159,3.0
160,4.0
161,5.0
162,6.0
163,7.0
164,6.0
165,5.0
166,6.0
167,7.0
168,8.0
169,9.0
170,8.0
171,7.0
172,6.0
173,5.0
174,6.0
175,7.0
176,8.0
177,9.0
178,10.0
179,11.0
180,12.0
181,13.0
182,14.0
183,15.0
184,14.0
185,13.0
186,14.0
187,15.0
188,14.0
189,13.0
190,12.0
191,11.0
192,12.0
193,13.0
194,14.0
195,15.0
196,14.0
197,13.0
198,14.0
199,15.0
200,16.0
201,17.0
202,18.0
203,19.0
204,20.0
205,21.0
206,22.0
207,23.0
208,24.0
209,25.0
210,26.0
211,27.0
212,28.0
213,29.0
214,28.0
215,27.0
216,26.0
217,25.0
218,24.0
219,23.0
220,22.0
221,21.0
222,20.0
223,19.0
224,20.0
225,21.0
226,20.0
227,19.0
228,20.0
229,21.0
230,22.0
231,23.0
232,24.0
233,25.0
234,26.0
235,27.0
236,28.0
237,29.0
238,30.0
239,31.0
240,32.0
241,33.0
242,34.0
243,35.0
244,36.0
245,37.0
246,36.0
247,35.0
248,34.0
249,35.0
250,36.0
251,37.0
252,38.0
253,39.0
254,40.0
255,41.0
256,42.0
257,43.0
258,44.0
259,45.0
260,44.0
261,43.0
262,42.0
263,41.0
264,40.0
265,39.0
266,38.0
267,37.0
268,36.0
269,35.0
270,34.0
271,33.0
272,32.0
273,31.0
274,30.0
275,29.0
276,30.0
277,31.0
278,30.0
279,29.0
280,28.0
281,27.0
282,26.0
283,25.0
284,24.0
285,23.0
286,24.0
287,25.0
288,26.0
289,27.0
290,26.0
291,25.0
292,24.0
293,23.0
294,24.0
295,25.0
296,26.0
297,27.0
298,28.0
299,29.0
300,28.0
301,27.0
302,26.0
303,25.0
304,26.0
305,25.0
306,26.0
307,27.0
308,28.0
309,29.0
310,30.0
